Compound,InChi,EC50,ALOGPs,pka,SMILES
1,"InChI=1S/C17H17N3O/c1-12-5-7-13(8-6-12)19-11-16-17(21-2)10-15(20-16)14-4-3-9-18-14/h3-11,18-19H,1-2H3/b16-11-",2.14327111,3.08,16.74,Cc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
2,"InChI=1S/C18H19N3O/c1-3-13-6-8-14(9-7-13)20-12-17-18(22-2)11-16(21-17)15-5-4-10-19-15/h4-12,19-20H,3H2,1-2H3/b17-12-",2.212539525,3.74,16.7,CCc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
3,"InChI=1S/C19H21N3O/c1-3-5-14-7-9-15(10-8-14)21-13-18-19(23-2)12-17(22-18)16-6-4-11-20-16/h4,6-13,20-21H,3,5H2,1-2H3/b18-13-",2.155522824,4.17,16.69,CCCc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
4,"InChI=1S/C20H23N3O/c1-3-4-6-15-8-10-16(11-9-15)22-14-19-20(24-2)13-18(23-19)17-7-5-12-21-17/h5,7-14,21-22H,3-4,6H2,1-2H3/b19-14-",2.108462542,4.63,16.69,CCCCc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
5,"InChI=1S/C20H23N3O/c1-20(2,3)14-7-9-15(10-8-14)22-13-18-19(24-4)12-17(23-18)16-6-5-11-21-16/h5-13,21-22H,1-4H3/b18-13-",1.98,4.72,16.63,CC(C)(C)c1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
6,"InChI=1S/C21H25N3O/c1-3-4-5-7-16-9-11-17(12-10-16)23-15-20-21(25-2)14-19(24-20)18-8-6-13-22-18/h6,8-15,22-23H,3-5,7H2,1-2H3/b20-15-",2.021819483,5.02,16.69,CCCCCc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
7,"InChI=1S/C26H35N3O/c1-3-4-5-6-7-8-9-10-12-21-14-16-22(17-15-21)28-20-25-26(30-2)19-24(29-25)23-13-11-18-27-23/h11,13-20,27-28H,3-10,12H2,1-2H3/b25-20-",0.54,7.11,16.69,CCCCCCCCCCc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
8,"InChI=1S/C16H15N3O2/c1-21-16-9-14(13-3-2-8-17-13)19-15(16)10-18-11-4-6-12(20)7-5-11/h2-10,17-18,20H,1H3/b15-10-",1.162159138,2.58,17.64,COC1=CC(=N/C/1=C\Nc1ccc(cc1)O)c1ccc[nH]1
9,"InChI=1S/C17H17N3O2/c1-21-13-7-5-12(6-8-13)19-11-16-17(22-2)10-15(20-16)14-4-3-9-18-14/h3-11,18-19H,1-2H3/b16-11-",1.706,2.86,17.31,COc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
10,"InChI=1S/C18H19N3O2/c1-3-23-14-8-6-13(7-9-14)20-12-17-18(22-2)11-16(21-17)15-5-4-10-19-15/h4-12,19-20H,3H2,1-2H3/b17-12-",1.86774031,3.37,17.3,CCOc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
11,"InChI=1S/C17H14F3N3O2/c1-24-16-9-14(13-3-2-8-21-13)23-15(16)10-22-11-4-6-12(7-5-11)25-17(18,19)20/h2-10,21-22H,1H3/b15-10-",1.635824367,3.76,16.64,COC1=CC(=N/C/1=C\Nc1ccc(cc1)OC(F)(F)F)c1ccc[nH]1
12,"InChI=1S/C17H17N3OS/c1-21-17-10-15(14-4-3-9-18-14)20-16(17)11-19-12-5-7-13(22-2)8-6-12/h3-11,18-19H,1-2H3/b16-11-",1.585026652,3.2,16.42,COC1=CC(=N/C/1=C\Nc1ccc(cc1)SC)c1ccc[nH]1
13,"InChI=1S/C16H14FN3O/c1-21-16-9-14(13-3-2-8-18-13)20-15(16)10-19-12-6-4-11(17)5-7-12/h2-10,18-19H,1H3/b15-10-",1.682563503,2.92,16.57,COC1=CC(=N/C/1=C\Nc1ccc(cc1)F)c1ccc[nH]1
14,"InChI=1S/C16H14ClN3O/c1-21-16-9-14(13-3-2-8-18-13)20-15(16)10-19-12-6-4-11(17)5-7-12/h2-10,18-19H,1H3/b15-10-",1.809668302,3.49,16.29,COC1=CC(=N/C/1=C\Nc1ccc(cc1)Cl)c1ccc[nH]1
15,"InChI=1S/C16H14BrN3O/c1-21-16-9-14(13-3-2-8-18-13)20-15(16)10-19-12-6-4-11(17)5-7-12/h2-10,18-19H,1H3/b15-10-",1.626720107,3.62,16.4,COC1=CC(=N/C/1=C\Nc1ccc(cc1)Br)c1ccc[nH]1
16,"InChI=1S/C16H14IN3O/c1-21-16-9-14(13-3-2-8-18-13)20-15(16)10-19-12-6-4-11(17)5-7-12/h2-10,18-19H,1H3/b15-10-",1.655214877,3.76,16.4,COC1=CC(=N/C/1=C\Nc1ccc(cc1)I)c1ccc[nH]1
17,"InChI=1S/C17H14N4O/c1-22-17-9-15(14-3-2-8-19-14)21-16(17)11-20-13-6-4-12(10-18)5-7-13/h2-9,11,19-20H,1H3/b16-11-",1.776244546,2.68,16.04,COC1=CC(=N/C/1=C\Nc1ccc(cc1)C#N)c1ccc[nH]1
18,"InChI=1S/C17H17N3O3S/c1-23-17-10-15(14-4-3-9-18-14)20-16(17)11-19-12-5-7-13(8-6-12)24(2,21)22/h3-11,18-19H,1-2H3/b16-11-",1.306273051,2.11,14.71,COC1=CC(=N/C/1=C\Nc1ccc(cc1)S(=O)(=O)C)c1ccc[nH]1
19,"InChI=1S/C11H13N3O/c1-12-7-10-11(15-2)6-9(14-10)8-4-3-5-13-8/h3-7,12-13H,1-2H3/b10-7-",0.461099663,1.03,2.09,CN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
20,"InChI=1S/C12H15N3O/c1-3-13-8-11-12(16-2)7-10(15-11)9-5-4-6-14-9/h4-8,13-14H,3H2,1-2H3/b11-8-",1.035834689,1.55,2.18,CCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
21,"InChI=1S/C13H17N3O/c1-3-6-14-9-12-13(17-2)8-11(16-12)10-5-4-7-15-10/h4-5,7-9,14-15H,3,6H2,1-2H3/b12-9-",1.562883907,2.03,2.33,CCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
22,"InChI=1S/C14H19N3O/c1-3-4-7-15-10-13-14(18-2)9-12(17-13)11-6-5-8-16-11/h5-6,8-10,15-16H,3-4,7H2,1-2H3/b13-10-",1.935542011,2.46,2.38,CCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
23,"InChI=1S/C15H21N3O/c1-3-4-5-8-16-11-14-15(19-2)10-13(18-14)12-7-6-9-17-12/h6-7,9-11,16-17H,3-5,8H2,1-2H3/b14-11-",2.188424994,2.99,2.41,CCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
24,"InChI=1S/C16H23N3O/c1-3-4-5-6-9-17-12-15-16(20-2)11-14(19-15)13-8-7-10-18-13/h7-8,10-12,17-18H,3-6,9H2,1-2H3/b15-12-",2.301029996,3.52,2.43,CCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
25,"InChI=1S/C17H25N3O/c1-3-4-5-6-7-10-18-13-16-17(21-2)12-15(20-16)14-9-8-11-19-14/h8-9,11-13,18-19H,3-7,10H2,1-2H3/b16-13-",2.345823458,4.02,2.42,CCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
26,"InChI=1S/C18H27N3O/c1-3-4-5-6-7-8-11-19-14-17-18(22-2)13-16(21-17)15-10-9-12-20-15/h9-10,12-14,19-20H,3-8,11H2,1-2H3/b17-14-",2.505845406,4.79,2.42,CCCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
27,"InChI=1S/C19H29N3O/c1-3-4-5-6-7-8-9-12-20-15-18-19(23-2)14-17(22-18)16-11-10-13-21-16/h10-11,13-15,20-21H,3-9,12H2,1-2H3/b18-15-",2.420216403,5.1,2.42,CCCCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
28,"InChI=1S/C20H31N3O/c1-3-4-5-6-7-8-9-10-13-21-16-19-20(24-2)15-18(23-19)17-12-11-14-22-17/h11-12,14-16,21-22H,3-10,13H2,1-2H3/b19-16-",2.27572413,5.36,2.42,CCCCCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
29,"InChI=1S/C22H35N3O/c1-3-4-5-6-7-8-9-10-11-12-15-23-18-21-22(26-2)17-20(25-21)19-14-13-16-24-19/h13-14,16-18,23-24H,3-12,15H2,1-2H3/b21-18-",2.136082623,6.14,2.42,CCCCCCCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
30,"InChI=1S/C14H19N3O/c1-10(2)8-15-9-13-14(18-3)7-12(17-13)11-5-4-6-16-11/h4-7,9-10,15-16H,8H2,1-3H3/b13-9-",1.948847478,2.24,2.48,CC(C)CN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
31,"InChI=1S/C15H21N3O/c1-11(2)6-8-16-10-14-15(19-3)9-13(18-14)12-5-4-7-17-12/h4-5,7,9-11,16-17H,6,8H2,1-3H3/b14-10-",2.175223538,2.84,2.44,CC(C)CCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)OC
32,"InChI=1S/C21H17N3O/c1-3-8-16(9-4-1)23-15-20-21(25-17-10-5-2-6-11-17)14-19(24-20)18-12-7-13-22-18/h1-15,22-23H/b20-15-",1.805485658,4.4,16.38,c1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
33,"InChI=1S/C25H25N3O/c1-25(2,3)18-11-13-19(14-12-18)27-17-23-24(29-20-8-5-4-6-9-20)16-22(28-23)21-10-7-15-26-21/h4-17,26-27H,1-3H3/b23-17-",1.934793872,5.94,16.61,CC(C)(C)c1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
34,"InChI=1S/C22H19N3O2/c1-26-17-11-9-16(10-12-17)24-15-21-22(27-18-6-3-2-4-7-18)14-20(25-21)19-8-5-13-23-19/h2-15,23-24H,1H3/b21-15-",1.87484417,4.38,17.29,COc1ccc(cc1)N/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
35,"InChI=1S/C20H16N4O/c1-2-7-15(8-3-1)25-19-13-17(16-9-6-12-21-16)24-18(19)14-23-20-10-4-5-11-22-20/h1-14,21H,(H,22,23)/b18-14-",2.056505484,3.3,12.46,c1ccc(cc1)OC1=CC(=N/C/1=C\Nc1ccccn1)c1ccc[nH]1
36,"InChI=1S/C18H19N3O/c1-2-10-19-13-17-18(22-14-7-4-3-5-8-14)12-16(21-17)15-9-6-11-20-15/h3-9,11-13,19-20H,2,10H2,1H3/b17-13-",1.708409174,3.62,2.39,CCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
37,"InChI=1S/C20H23N3O/c1-2-3-7-12-21-15-19-20(24-16-9-5-4-6-10-16)14-18(23-19)17-11-8-13-22-17/h4-6,8-11,13-15,21-22H,2-3,7,12H2,1H3/b19-15-",2.014124643,4.49,2.45,CCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
38,"InChI=1S/C25H33N3O/c1-2-3-4-5-6-7-8-12-17-26-20-24-25(29-21-14-10-9-11-15-21)19-23(28-24)22-16-13-18-27-22/h9-11,13-16,18-20,26-27H,2-8,12,17H2,1H3/b24-20-",1.689519109,6.42,2.45,CCCCCCCCCCN/C=C\1/C(=CC(=N1)c1ccc[nH]1)Oc1ccccc1
1*,"InChI=1S/C16H15N3O/c1-20-16-10-14(13-8-5-9-17-13)19-15(16)11-18-12-6-3-2-4-7-12/h2-11,17-18H,1H3/b15-11-",1.425,2.81,16.4,COC1=CC(=N/C/1=C\Nc1ccccc1)c1ccc[nH]1
3*,"InChI=1S/C17H14F3N3O/c1-24-16-9-14(13-3-2-8-21-13)23-15(16)10-22-12-6-4-11(5-7-12)17(18,19)20/h2-10,21-22H,1H3/b15-10-",0.851,3.57,16.4,COC1=CC(=N/C/1=C\Nc1ccc(cc1)C(F)(F)F)c1ccc[nH]1
5*,"InChI=1S/C15H14N4O/c1-20-14-9-12(11-5-4-8-16-11)19-13(14)10-18-15-6-2-3-7-17-15/h2-10,16H,1H3,(H,17,18)/b13-10-",1.669,1.91,12.48,COC1=CC(=N/C/1=C\Nc1ccccn1)c1ccc[nH]1
8*,"InChI=1S/C23H18F3N3O/c24-23(25,26)17-8-10-18(11-9-17)28-14-21-22(30-15-16-5-2-1-3-6-16)13-20(29-21)19-7-4-12-27-19/h1-14,27-28H,15H2/b21-14-",0.14,5.11,16.38,c1ccc(cc1)COC1=CC(=N/C/1=C\Nc1ccc(cc1)C(F)(F)F)c1ccc[nH]1
prodigiosine,,3.101,4.65,,
